dataset,distance,linkage,strategy,phase,runtime,ARI
FreezerSmallTrain,dtw,complete,approx_distance_ascending,Initializing,419,0.0001652187780698114
FreezerSmallTrain,dtw,complete,approx_distance_ascending,Approximating,0,0.0001652187780698114
FreezerSmallTrain,dtw,complete,approx_distance_ascending,ComputingFullDistances,1026908,0.0001652187780698114
FreezerSmallTrain,dtw,complete,approx_distance_ascending,Finalizing,320,0.0001652187780698114
FreezerSmallTrain,dtw,complete,approx_distance_ascending,Finished,1027649,0.0001652187780698114
ProximalPhalanxTW,dtw,complete,approx_distance_ascending,Initializing,76,0.6860106630879487
ProximalPhalanxTW,dtw,complete,approx_distance_ascending,Approximating,0,0.6860106630879487
ProximalPhalanxTW,dtw,complete,approx_distance_ascending,ComputingFullDistances,3370,0.6860106630879487
ProximalPhalanxTW,dtw,complete,approx_distance_ascending,Finalizing,62,0.6860106630879487
ProximalPhalanxTW,dtw,complete,approx_distance_ascending,Finished,3509,0.6860106630879487
CricketY,msm,ward,approx_distance_ascending,Initializing,181,0.2000126986942357
CricketY,msm,ward,approx_distance_ascending,Approximating,0,0.2000126986942357
CricketY,msm,ward,approx_distance_ascending,ComputingFullDistances,96470,0.2000126986942357
CricketY,msm,ward,approx_distance_ascending,Finalizing,92,0.2000126986942357
CricketY,msm,ward,approx_distance_ascending,Finished,96746,0.2000126986942357
Lightning2,msm,complete,approx_distance_ascending,Initializing,93,0.254101163575198
Lightning2,msm,complete,approx_distance_ascending,Approximating,0,0.254101163575198
Lightning2,msm,complete,approx_distance_ascending,ComputingFullDistances,10711,0.254101163575198
Lightning2,msm,complete,approx_distance_ascending,Finalizing,27,0.254101163575198
Lightning2,msm,complete,approx_distance_ascending,Finished,10832,0.254101163575198
edeniss20182020_par_anomalies,euclidean,ward,approx_distance_ascending,Initializing,46,
edeniss20182020_par_anomalies,euclidean,ward,approx_distance_ascending,Approximating,0,
edeniss20182020_par_anomalies,euclidean,ward,approx_distance_ascending,ComputingFullDistances,42,
edeniss20182020_par_anomalies,euclidean,ward,approx_distance_ascending,Finalizing,36,
edeniss20182020_par_anomalies,euclidean,ward,approx_distance_ascending,Finished,126,
ShapeletSim,euclidean,single,approx_distance_ascending,Initializing,132,0.0
ShapeletSim,euclidean,single,approx_distance_ascending,Approximating,0,0.0
ShapeletSim,euclidean,single,approx_distance_ascending,ComputingFullDistances,70,0.0
ShapeletSim,euclidean,single,approx_distance_ascending,Finalizing,23,0.0
ShapeletSim,euclidean,single,approx_distance_ascending,Finished,226,0.0
FordA,euclidean,weighted,approx_distance_ascending,Initializing,1431,0.0002437284940727162
FordA,euclidean,weighted,approx_distance_ascending,Approximating,0,0.0002437284940727162
FordA,euclidean,weighted,approx_distance_ascending,ComputingFullDistances,24908,0.0002437284940727162
FordA,euclidean,weighted,approx_distance_ascending,Finalizing,977,0.0002437284940727162
FordA,euclidean,weighted,approx_distance_ascending,Finished,27317,0.0002437284940727162
GesturePebbleZ1,euclidean,complete,approx_distance_ascending,Initializing,89,0.17622503573837411
GesturePebbleZ1,euclidean,complete,approx_distance_ascending,Approximating,0,0.17622503573837411
GesturePebbleZ1,euclidean,complete,approx_distance_ascending,ComputingFullDistances,133,0.17622503573837411
GesturePebbleZ1,euclidean,complete,approx_distance_ascending,Finalizing,74,0.17622503573837411
GesturePebbleZ1,euclidean,complete,approx_distance_ascending,Finished,298,0.17622503573837411
ToeSegmentation2,sbd,single,approx_distance_ascending,Initializing,104,0.023345570930998778
ToeSegmentation2,sbd,single,approx_distance_ascending,Approximating,0,0.023345570930998778
ToeSegmentation2,sbd,single,approx_distance_ascending,ComputingFullDistances,3146,0.023345570930998778
ToeSegmentation2,sbd,single,approx_distance_ascending,Finalizing,18,0.023345570930998778
ToeSegmentation2,sbd,single,approx_distance_ascending,Finished,3270,0.023345570930998778
Strawberry,dtw,average,approx_distance_ascending,Initializing,194,-0.018560259841396413
Strawberry,dtw,average,approx_distance_ascending,Approximating,0,-0.018560259841396413
Strawberry,dtw,average,approx_distance_ascending,ComputingFullDistances,77375,-0.018560259841396413
Strawberry,dtw,average,approx_distance_ascending,Finalizing,94,-0.018560259841396413
Strawberry,dtw,average,approx_distance_ascending,Finished,77665,-0.018560259841396413
SonyAIBORobotSurface2,euclidean,single,approx_distance_ascending,Initializing,128,0.001237232749343879
SonyAIBORobotSurface2,euclidean,single,approx_distance_ascending,Approximating,0,0.001237232749343879
SonyAIBORobotSurface2,euclidean,single,approx_distance_ascending,ComputingFullDistances,190,0.001237232749343879
SonyAIBORobotSurface2,euclidean,single,approx_distance_ascending,Finalizing,59,0.001237232749343879
SonyAIBORobotSurface2,euclidean,single,approx_distance_ascending,Finished,379,0.001237232749343879
SonyAIBORobotSurface1,dtw,ward,approx_distance_ascending,Initializing,76,0.5892915773927678
